Element,Attribute,Value,Subfigure
0,NormalizedRankDifference,-0.329700272479564,A
1,NormalizedRankDifference,-0.4959128065395096,A
2,NormalizedRankDifference,-0.5122615803814715,A
3,NormalizedRankDifference,0.0190735694822887,A
4,NormalizedRankDifference,-0.1716621253405994,A
5,NormalizedRankDifference,0.2806539509536785,A
6,NormalizedRankDifference,-0.0136239782016349,A
7,NormalizedRankDifference,-0.3787465940054496,A
8,NormalizedRankDifference,0.0027247956403269,A
9,NormalizedRankDifference,-0.1825613079019074,A
10,NormalizedRankDifference,-0.0408719346049045,A
11,NormalizedRankDifference,-0.6485013623978202,A
12,NormalizedRankDifference,-0.5585831062670301,A
13,NormalizedRankDifference,0.0272479564032696,A
14,NormalizedRankDifference,0.005449591280654,A
15,NormalizedRankDifference,-0.1771117166212535,A
16,NormalizedRankDifference,-0.752043596730245,A
17,NormalizedRankDifference,0.0299727520435967,A
18,NormalizedRankDifference,-0.106267029972752,A
19,NormalizedRankDifference,0.0681198910081744,A
20,NormalizedRankDifference,-0.2397820163487738,A
21,NormalizedRankDifference,-0.1253405994550409,A
22,NormalizedRankDifference,-0.1198910081743869,A
23,NormalizedRankDifference,-0.1171662125340599,A
24,NormalizedRankDifference,-0.6457765667574933,A
25,NormalizedRankDifference,-0.0926430517711172,A
26,NormalizedRankDifference,-0.686648501362398,A
27,NormalizedRankDifference,0.2397820163487738,A
28,NormalizedRankDifference,-0.0136239782016348,A
29,NormalizedRankDifference,-0.5912806539509537,A
30,NormalizedRankDifference,-0.002724795640327,A
31,NormalizedRankDifference,-0.1771117166212533,A
32,NormalizedRankDifference,-0.1471389645776566,A
33,NormalizedRankDifference,-0.3569482288828338,A
34,NormalizedRankDifference,-0.0708446866485013,A
35,NormalizedRankDifference,-0.2942779291553134,A
36,NormalizedRankDifference,-0.6539509536784742,A
37,NormalizedRankDifference,-0.348773841961853,A
38,NormalizedRankDifference,-0.0381471389645775,A
39,NormalizedRankDifference,-0.8283378746594005,A
40,NormalizedRankDifference,-0.4632152588555859,A
41,NormalizedRankDifference,0.0272479564032697,A
42,NormalizedRankDifference,-0.1825613079019074,A
43,NormalizedRankDifference,-0.3542234332425069,A
44,NormalizedRankDifference,-0.2970027247956404,A
45,NormalizedRankDifference,-0.0735694822888283,A
46,NormalizedRankDifference,-0.2615803814713897,A
47,NormalizedRankDifference,-0.0980926430517711,A
48,NormalizedRankDifference,-0.6948228882833788,A
49,NormalizedRankDifference,-0.1171662125340599,A
50,NormalizedRankDifference,-0.3787465940054497,A
51,NormalizedRankDifference,-0.4877384196185286,A
52,NormalizedRankDifference,-0.4604904632152589,A
53,NormalizedRankDifference,-0.1498637602179837,A
54,NormalizedRankDifference,-0.3705722070844688,A
55,NormalizedRankDifference,-0.0354223433242507,A
56,NormalizedRankDifference,-0.0653950953678474,A
57,NormalizedRankDifference,0.2397820163487738,A
58,NormalizedRankDifference,-0.2915531335149864,A
59,NormalizedRankDifference,-0.5395095367847411,A
60,NormalizedRankDifference,-0.1335149863760218,A
61,NormalizedRankDifference,-0.1362397820163488,A
62,NormalizedRankDifference,-0.574931880108992,A
63,NormalizedRankDifference,-0.6485013623978202,A
64,NormalizedRankDifference,-0.0572207084468664,A
65,NormalizedRankDifference,-0.2888283378746594,A
66,NormalizedRankDifference,-0.4414168937329702,A
67,NormalizedRankDifference,-0.0572207084468665,A
68,NormalizedRankDifference,-0.5858310626702998,A
69,NormalizedRankDifference,-0.2534059945504087,A
