Subfigure,Element,Attribute,Value
A,0,TaxonomyLevel,Field
A,0,TaxonomyValue,Mathematics
A,0,Year,2020
A,0,PercentFemale,17.91193464833632
A,1,TaxonomyLevel,Umbrella
A,1,TaxonomyValue,Mathematics and Computing
A,1,Year,2020
A,1,PercentFemale,18.45716317099182
A,2,TaxonomyLevel,Academia
A,2,TaxonomyValue,Academia
A,2,Year,2020
A,2,PercentFemale,35.7002841362577
A,3,TaxonomyLevel,Field
A,3,TaxonomyValue,Mathematics
A,3,Year,2019
A,3,PercentFemale,17.57024139295607
A,4,TaxonomyLevel,Umbrella
A,4,TaxonomyValue,Mathematics and Computing
A,4,Year,2019
A,4,PercentFemale,18.12486651954153
A,5,TaxonomyLevel,Academia
A,5,TaxonomyValue,Academia
A,5,Year,2019
A,5,PercentFemale,35.184738599007446
A,6,TaxonomyLevel,Field
A,6,TaxonomyValue,Mathematics
A,6,Year,2018
A,6,PercentFemale,17.18287630696389
A,7,TaxonomyLevel,Umbrella
A,7,TaxonomyValue,Mathematics and Computing
A,7,Year,2018
A,7,PercentFemale,17.54912468738835
A,8,TaxonomyLevel,Academia
A,8,TaxonomyValue,Academia
A,8,Year,2018
A,8,PercentFemale,34.58549222797927
A,9,TaxonomyLevel,Field
A,9,TaxonomyValue,Mathematics
A,9,Year,2017
A,9,PercentFemale,16.7551622418879
A,10,TaxonomyLevel,Umbrella
A,10,TaxonomyValue,Mathematics and Computing
A,10,Year,2017
A,10,PercentFemale,17.23865594485927
A,11,TaxonomyLevel,Academia
A,11,TaxonomyValue,Academia
A,11,Year,2017
A,11,PercentFemale,34.01988056589911
A,12,TaxonomyLevel,Field
A,12,TaxonomyValue,Mathematics
A,12,Year,2016
A,12,PercentFemale,16.1648177496038
A,13,TaxonomyLevel,Umbrella
A,13,TaxonomyValue,Mathematics and Computing
A,13,Year,2016
A,13,PercentFemale,16.69110101158188
A,14,TaxonomyLevel,Academia
A,14,TaxonomyValue,Academia
A,14,Year,2016
A,14,PercentFemale,33.53835802516154
A,15,TaxonomyLevel,Field
A,15,TaxonomyValue,Mathematics
A,15,Year,2015
A,15,PercentFemale,15.87682463507298
A,16,TaxonomyLevel,Umbrella
A,16,TaxonomyValue,Mathematics and Computing
A,16,Year,2015
A,16,PercentFemale,16.41190067854746
A,17,TaxonomyLevel,Academia
A,17,TaxonomyValue,Academia
A,17,Year,2015
A,17,PercentFemale,33.07704255980118
A,18,TaxonomyLevel,Field
A,18,TaxonomyValue,Mathematics
A,18,Year,2014
A,18,PercentFemale,15.53712320453166
A,19,TaxonomyLevel,Umbrella
A,19,TaxonomyValue,Mathematics and Computing
A,19,Year,2014
A,19,PercentFemale,16.12903225806451
A,20,TaxonomyLevel,Academia
A,20,TaxonomyValue,Academia
A,20,Year,2014
A,20,PercentFemale,32.57563850687622
A,21,TaxonomyLevel,Field
A,21,TaxonomyValue,Mathematics
A,21,Year,2013
A,21,PercentFemale,15.03361173355062
A,22,TaxonomyLevel,Umbrella
A,22,TaxonomyValue,Mathematics and Computing
A,22,Year,2013
A,22,PercentFemale,15.757994018863581
A,23,TaxonomyLevel,Academia
A,23,TaxonomyValue,Academia
A,23,Year,2013
A,23,PercentFemale,32.08512501990763
A,24,TaxonomyLevel,Field
A,24,TaxonomyValue,Mathematics
A,24,Year,2012
A,24,PercentFemale,14.90188062142273
A,25,TaxonomyLevel,Umbrella
A,25,TaxonomyValue,Mathematics and Computing
A,25,Year,2012
A,25,PercentFemale,15.749437242878209
A,26,TaxonomyLevel,Academia
A,26,TaxonomyValue,Academia
A,26,Year,2012
A,26,PercentFemale,31.51162475244838
A,27,TaxonomyLevel,Field
A,27,TaxonomyValue,Mathematics
A,27,Year,2011
A,27,PercentFemale,14.53009068425391
A,28,TaxonomyLevel,Umbrella
A,28,TaxonomyValue,Mathematics and Computing
A,28,Year,2011
A,28,PercentFemale,15.492957746478869
A,29,TaxonomyLevel,Academia
A,29,TaxonomyValue,Academia
A,29,Year,2011
A,29,PercentFemale,31.16553936750878
A,30,TaxonomyLevel,Field
A,30,TaxonomyValue,Biological Sciences
A,30,Year,2017
A,30,PercentFemale,31.22199592668024
A,31,TaxonomyLevel,Umbrella
A,31,TaxonomyValue,Natural Sciences
A,31,Year,2017
A,31,PercentFemale,25.59335038363171
A,32,TaxonomyLevel,Field
A,32,TaxonomyValue,Biological Sciences
A,32,Year,2020
A,32,PercentFemale,33.78927121179739
A,33,TaxonomyLevel,Umbrella
A,33,TaxonomyValue,Natural Sciences
A,33,Year,2020
A,33,PercentFemale,27.779540047581282
A,34,TaxonomyLevel,Field
A,34,TaxonomyValue,Biological Sciences
A,34,Year,2019
A,34,PercentFemale,33.02266468968439
A,35,TaxonomyLevel,Umbrella
A,35,TaxonomyValue,Natural Sciences
A,35,Year,2019
A,35,PercentFemale,27.270580208360666
A,36,TaxonomyLevel,Field
A,36,TaxonomyValue,Biological Sciences
A,36,Year,2018
A,36,PercentFemale,32.05771643663739
A,37,TaxonomyLevel,Umbrella
A,37,TaxonomyValue,Natural Sciences
A,37,Year,2018
A,37,PercentFemale,26.49639003182982
A,38,TaxonomyLevel,Field
A,38,TaxonomyValue,Biological Sciences
A,38,Year,2016
A,38,PercentFemale,30.35423452768729
A,39,TaxonomyLevel,Umbrella
A,39,TaxonomyValue,Natural Sciences
A,39,Year,2016
A,39,PercentFemale,25.09456448520649
A,40,TaxonomyLevel,Field
A,40,TaxonomyValue,Biological Sciences
A,40,Year,2015
A,40,PercentFemale,29.93366500829187
A,41,TaxonomyLevel,Umbrella
A,41,TaxonomyValue,Natural Sciences
A,41,Year,2015
A,41,PercentFemale,24.47482052504702
A,42,TaxonomyLevel,Field
A,42,TaxonomyValue,Biological Sciences
A,42,Year,2014
A,42,PercentFemale,29.68227424749164
A,43,TaxonomyLevel,Umbrella
A,43,TaxonomyValue,Natural Sciences
A,43,Year,2014
A,43,PercentFemale,23.89980588720185
A,44,TaxonomyLevel,Field
A,44,TaxonomyValue,Biological Sciences
A,44,Year,2013
A,44,PercentFemale,28.75664187035069
A,45,TaxonomyLevel,Umbrella
A,45,TaxonomyValue,Natural Sciences
A,45,Year,2013
A,45,PercentFemale,23.21896882688512
A,46,TaxonomyLevel,Field
A,46,TaxonomyValue,Biological Sciences
A,46,Year,2012
A,46,PercentFemale,27.5022143489814
A,47,TaxonomyLevel,Umbrella
A,47,TaxonomyValue,Natural Sciences
A,47,Year,2012
A,47,PercentFemale,22.55288233157291
A,48,TaxonomyLevel,Field
A,48,TaxonomyValue,Biological Sciences
A,48,Year,2011
A,48,PercentFemale,27.221597300337457
A,49,TaxonomyLevel,Umbrella
A,49,TaxonomyValue,Natural Sciences
A,49,Year,2011
A,49,PercentFemale,22.23402727925341
A,50,TaxonomyLevel,Field
A,50,TaxonomyValue,Statistics
A,50,Year,2020
A,50,PercentFemale,22.99528301886792
A,51,TaxonomyLevel,Field
A,51,TaxonomyValue,Statistics
A,51,Year,2019
A,51,PercentFemale,22.299651567944252
A,52,TaxonomyLevel,Field
A,52,TaxonomyValue,Statistics
A,52,Year,2018
A,52,PercentFemale,22.35563178959405
A,53,TaxonomyLevel,Field
A,53,TaxonomyValue,Statistics
A,53,Year,2017
A,53,PercentFemale,21.82539682539682
A,54,TaxonomyLevel,Field
A,54,TaxonomyValue,Statistics
A,54,Year,2016
A,54,PercentFemale,21.27780946948089
A,55,TaxonomyLevel,Field
A,55,TaxonomyValue,Statistics
A,55,Year,2015
A,55,PercentFemale,20.600115406809
A,56,TaxonomyLevel,Field
A,56,TaxonomyValue,Statistics
A,56,Year,2014
A,56,PercentFemale,19.67213114754098
A,57,TaxonomyLevel,Field
A,57,TaxonomyValue,Statistics
A,57,Year,2013
A,57,PercentFemale,19.01658767772512
A,58,TaxonomyLevel,Field
A,58,TaxonomyValue,Statistics
A,58,Year,2012
A,58,PercentFemale,19.09638554216867
A,59,TaxonomyLevel,Field
A,59,TaxonomyValue,Statistics
A,59,Year,2011
A,59,PercentFemale,18.47094801223241
A,60,TaxonomyLevel,Umbrella
A,60,TaxonomyValue,Applied Sciences
A,60,Year,2020
A,60,PercentFemale,29.24149726991645
A,61,TaxonomyLevel,Umbrella
A,61,TaxonomyValue,Applied Sciences
A,61,Year,2019
A,61,PercentFemale,28.73772517396111
A,62,TaxonomyLevel,Umbrella
A,62,TaxonomyValue,Applied Sciences
A,62,Year,2018
A,62,PercentFemale,28.3657917019475
A,63,TaxonomyLevel,Umbrella
A,63,TaxonomyValue,Applied Sciences
A,63,Year,2017
A,63,PercentFemale,27.867570385818556
A,64,TaxonomyLevel,Umbrella
A,64,TaxonomyValue,Applied Sciences
A,64,Year,2016
A,64,PercentFemale,27.17420212765957
A,65,TaxonomyLevel,Umbrella
A,65,TaxonomyValue,Applied Sciences
A,65,Year,2015
A,65,PercentFemale,26.735828586927042
A,66,TaxonomyLevel,Umbrella
A,66,TaxonomyValue,Applied Sciences
A,66,Year,2014
A,66,PercentFemale,26.268615554329838
A,67,TaxonomyLevel,Umbrella
A,67,TaxonomyValue,Applied Sciences
A,67,Year,2013
A,67,PercentFemale,25.74771531431736
A,68,TaxonomyLevel,Umbrella
A,68,TaxonomyValue,Applied Sciences
A,68,Year,2012
A,68,PercentFemale,25.006993006993
A,69,TaxonomyLevel,Umbrella
A,69,TaxonomyValue,Applied Sciences
A,69,Year,2011
A,69,PercentFemale,24.52843518191451
A,70,TaxonomyLevel,Field
A,70,TaxonomyValue,Psychology
A,70,Year,2017
