Element,Attribute,Value,Subfigure
0,TaxonomyLevel,Academia,A
0,TaxonomyValue,Academia,A
0,NonUSPhD,10.501577490180928,A
0,USPhD,82.2440009624215,A
0,NonPhD,7.254421547397564,A
0,Color,#45A1F8,A
1,TaxonomyLevel,Umbrella,A
1,TaxonomyValue,Applied Sciences,A
1,NonUSPhD,6.675362791456058,A
1,USPhD,82.16207402576228,A
1,NonPhD,11.162563182781673,A
1,Color,#1b9e77,A
2,TaxonomyLevel,Umbrella,A
2,TaxonomyValue,Education,A
2,NonUSPhD,2.0028612303290414,A
2,USPhD,95.0071530758226,A
2,NonPhD,2.9899856938483547,A
2,Color,#d95f02,A
3,TaxonomyLevel,Umbrella,A
3,TaxonomyValue,Engineering,A
3,NonUSPhD,11.94511428862548,A
3,USPhD,85.59929355024964,A
3,NonPhD,2.4555921611248857,A
3,Color,#7570b3,A
4,TaxonomyLevel,Umbrella,A
4,TaxonomyValue,Humanities,A
4,NonUSPhD,6.595534479351907,A
4,USPhD,74.42205097806757,A
4,NonPhD,18.982414542580518,A
4,Color,#66a61e,A
5,TaxonomyLevel,Umbrella,A
5,TaxonomyValue,Mathematics and Computing,A
5,NonUSPhD,14.436443451807927,A
5,USPhD,83.23000500596865,A
5,NonPhD,2.3335515422234203,A
5,Color,#e7298a,A
6,TaxonomyLevel,Umbrella,A
6,TaxonomyValue,Medicine and Health,A
6,NonUSPhD,11.183430873853672,A
6,USPhD,81.71343142080987,A
6,NonPhD,7.1031377053364695,A
6,Color,#e6ab02,A
7,TaxonomyLevel,Umbrella,A
7,TaxonomyValue,Natural Sciences,A
7,NonUSPhD,18.666214631803477,A
7,USPhD,78.6371148874857,A
7,NonPhD,2.696670480710825,A
7,Color,#a6761d,A
8,TaxonomyLevel,Umbrella,A
8,TaxonomyValue,Social Sciences,A
8,NonUSPhD,5.541965859175675,A
8,USPhD,93.02454036139825,A
8,NonPhD,1.4334937794260765,A
8,Color,#666666,A
0,TaxonomyLevel,Umbrella,B
0,TaxonomyValue,Applied Sciences,B
0,Color,#1b9e77,B
0,Africa Fraction,0.0126582278481012,B
0,Asia Fraction,0.1475170399221032,B
0,Europe Fraction,0.5384615384615384,B
0,North America Fraction,0.2366114897760467,B
0,Oceania Fraction,0.049172346640701,B
0,South America Fraction,0.0194741966893865,B
0,Canada Fraction,0.229683698296837,B
0,United Kingdom Fraction,0.2024330900243309,B
1,TaxonomyLevel,Umbrella,B
1,TaxonomyValue,Education,B
1,Color,#d95f02,B
1,Africa Fraction,0.0106761565836298,B
1,Asia Fraction,0.099644128113879,B
1,Europe Fraction,0.3843416370106761,B
1,North America Fraction,0.4021352313167259,B
1,Oceania Fraction,0.096085409252669,B
1,South America Fraction,0.0106761565836298,B
1,Canada Fraction,0.3879003558718861,B
1,United Kingdom Fraction,0.1637010676156583,B
2,TaxonomyLevel,Umbrella,B
2,TaxonomyValue,Engineering,B
2,Color,#7570b3,B
2,Africa Fraction,0.0061867266591676,B
2,Asia Fraction,0.280652418447694,B
2,Europe Fraction,0.4955005624296963,B
2,North America Fraction,0.1836332958380202,B
2,Oceania Fraction,0.0337457817772778,B
2,South America Fraction,0.0118110236220472,B
2,Canada Fraction,0.1708825182686902,B
2,United Kingdom Fraction,0.1576728499156829,B
3,TaxonomyLevel,Umbrella,B
3,TaxonomyValue,Humanities,B
3,Color,#66a61e,B
3,Africa Fraction,0.0141438459223593,B
3,Asia Fraction,0.0650015046644598,B
3,Europe Fraction,0.665362624134818,B
